wavelength,watermilfoil,primrose,tule,soil,waterturbid,waterclear,npv,egeria,hyacinth,sagoturbid,pennywort,cattail,cabomba,curlyleaf,phragmites
1083.079956,0.038085,0.521685,0.244197,0.20155,0.013955,0.011802,0.421239,0.085204,0.555959,0.015659,0.520643,0.333137,0.027955,0.016059,0.330126
1088.089966,0.036659,0.520638,0.245248,0.20074,0.013307,0.011372,0.421015,0.083632,0.553049,0.015948,0.523165,0.334509,0.026618,0.016161,0.328713
1093.099976,0.035537,0.519897,0.245294,0.202716,0.013867,0.010958,0.421573,0.08325,0.545841,0.014518,0.520629,0.335371,0.026382,0.016123,0.331815
1098.109985,0.03406,0.519731,0.243273,0.202489,0.013343,0.010204,0.422164,0.081425,0.54723,0.014276,0.519299,0.333782,0.02437,0.015123,0.333717
1103.119995,0.033096,0.517653,0.243846,0.202673,0.013223,0.010258,0.424018,0.079412,0.547713,0.012762,0.5209,0.333678,0.023226,0.014224,0.335102
1108.130005,0.0308,0.517433,0.24237,0.202378,0.011953,0.009551,0.418546,0.078604,0.542909,0.012974,0.517303,0.330616,0.020755,0.014468,0.338668
1113.130005,0.030306,0.511689,0.246425,0.200389,0.012017,0.009616,0.425263,0.07496,0.552379,0.010738,0.515224,0.330635,0.021093,0.014109,0.34468
1118.140015,0.034403,0.514267,0.241472,0.206967,0.01285,0.010902,0.425182,0.078949,0.537247,0.013654,0.51356,0.335117,0.023056,0.014433,0.332652
1123.150024,0.040256,0.493567,0.245247,0.213696,0.01463,0.012603,0.418955,0.07808,0.528182,0.014635,0.493638,0.318176,0.026829,0.017661,0.321769
1128.160034,0.032938,0.489527,0.222456,0.209453,0.010273,0.012842,0.426926,0.084853,0.513067,0.01546,0.499905,0.320425,0.024817,0.018248,0.317942
1133.170044,0.028516,0.486845,0.221624,0.20772,0.015555,0.012158,0.41949,0.072695,0.504884,0.014391,0.484932,0.305552,0.024764,0.01492,0.331132
1138.180054,0.024181,0.471107,0.204757,0.196324,0.01415,0.009112,0.412117,0.066383,0.465418,0.012745,0.467421,0.291276,0.019528,0.011424,0.318192
1143.189941,0.022016,0.455065,0.195488,0.198841,0.011852,0.009061,0.405074,0.06048,0.443446,0.012787,0.447643,0.269835,0.019237,0.012729,0.323821
1148.199951,0.024136,0.436221,0.188689,0.202681,0.012538,0.010887,0.412069,0.058975,0.422403,0.013151,0.441592,0.263215,0.018578,0.013402,0.31019
1153.199951,0.018446,0.427841,0.177349,0.201566,0.010603,0.007319,0.416197,0.055457,0.410587,0.010691,0.448679,0.256782,0.015917,0.013055,0.317846
1158.209961,0.017504,0.414921,0.168502,0.204511,0.010231,0.0091,0.413772,0.052524,0.395585,0.012035,0.433073,0.243545,0.014167,0.012384,0.306032
1163.219971,0.017071,0.404504,0.165,0.203285,0.010501,0.009197,0.412789,0.049765,0.381681,0.01037,0.416882,0.240456,0.013792,0.012241,0.301028
1168.22998,0.016181,0.403742,0.163178,0.20714,0.011477,0.008647,0.411958,0.049246,0.376559,0.010374,0.415374,0.235967,0.013877,0.012458,0.301691
1173.23999,0.016202,0.398276,0.163906,0.207789,0.011101,0.009423,0.410697,0.049707,0.369987,0.010896,0.41148,0.232083,0.014553,0.011485,0.299348
1178.25,0.016617,0.393827,0.159665,0.20928,0.010939,0.00926,0.408852,0.04766,0.364011,0.010603,0.404012,0.226941,0.014395,0.01256,0.297461
1183.26001,0.015913,0.395341,0.159217,0.210754,0.011085,0.009123,0.407935,0.047006,0.363077,0.010293,0.405123,0.227888,0.014351,0.011535,0.296811
1188.26001,0.014822,0.390871,0.157607,0.211086,0.011081,0.009634,0.405984,0.047624,0.359078,0.010674,0.404801,0.222996,0.013993,0.012699,0.295859
1193.27002,0.015726,0.388429,0.156999,0.209209,0.01168,0.009311,0.405945,0.046735,0.356344,0.009838,0.397625,0.222669,0.013954,0.012344,0.293014
1198.280029,0.015384,0.391428,0.15685,0.210455,0.011044,0.009408,0.406837,0.046588,0.357846,0.010571,0.395887,0.223238,0.013909,0.01209,0.294475
1203.290039,0.015417,0.385137,0.154694,0.208008,0.010647,0.009068,0.403971,0.046962,0.354456,0.010096,0.392618,0.220337,0.013905,0.012032,0.286987
1208.300049,0.015663,0.386252,0.155411,0.208638,0.01046,0.009172,0.40301,0.046814,0.355824,0.011008,0.394602,0.222627,0.013789,0.0117,0.289229
1213.310059,0.015809,0.390672,0.157302,0.209652,0.010843,0.008985,0.404533,0.046243,0.358468,0.009942,0.398776,0.223209,0.013616,0.011948,0.290649
1218.319946,0.015417,0.392217,0.158436,0.211421,0.011285,0.009252,0.408381,0.047713,0.357739,0.01026,0.398906,0.22492,0.01352,0.011804,0.295449
1223.329956,0.016178,0.394435,0.161069,0.21247,0.01141,0.009465,0.411055,0.047109,0.360222,0.010401,0.4014,0.22751,0.014255,0.012619,0.295078
1228.329956,0.015812,0.395283,0.162929,0.213836,0.010943,0.009799,0.414645,0.047634,0.361485,0.01154,0.405507,0.231344,0.013921,0.012562,0.29637
1233.339966,0.015769,0.399035,0.164595,0.214628,0.011764,0.009632,0.416074,0.048817,0.365768,0.011195,0.405473,0.236201,0.014162,0.012886,0.299501
1238.349976,0.016138,0.399111,0.167663,0.216638,0.011,0.010204,0.416896,0.048399,0.36659,0.011049,0.40548,0.237149,0.013836,0.012694,0.299548
1243.359985,0.015907,0.401389,0.16803,0.217726,0.011418,0.00979,0.419331,0.048949,0.367126,0.011506,0.407398,0.23869,0.014395,0.012512,0.298352
